match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1456867,2024-11-12,Indonesia,Myanmar,Udayana Cricket Ground,Bali,Myanmar,field,Indonesia,T20,completed
1456868,2024-11-13,Myanmar,Indonesia,Udayana Cricket Ground,Bali,Myanmar,bat,Indonesia,T20,completed
1456869,2024-11-15,Myanmar,Indonesia,Udayana Cricket Ground,Bali,Indonesia,field,Indonesia,T20,completed
1456870,2024-11-16,Myanmar,Indonesia,Udayana Cricket Ground,Bali,Myanmar,bat,Indonesia,T20,completed
1456871,2024-11-17,Indonesia,Myanmar,Udayana Cricket Ground,Bali,Indonesia,bat,Indonesia,T20,completed
1456872,2024-11-19,Myanmar,Indonesia,Udayana Cricket Ground,Bali,Myanmar,bat,Indonesia,T20,completed
1457217,2024-11-19,Thailand,Qatar,"West End Park International Cricket Stadium, Doha",Doha,Qatar,field,Qatar,T20,completed
1457218,2024-11-19,United Arab Emirates,Bhutan,University of Doha for Science and Technology,Doha,Bhutan,field,United Arab Emirates,T20,completed
1457219,2024-11-19,Bahrain,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Doha,Saudi Arabia,field,Bahrain,T20,completed
1457220,2024-11-20,Thailand,Cambodia,"West End Park International Cricket Stadium, Doha",Doha,Cambodia,field,Thailand,T20,completed
1457221,2024-11-20,Bhutan,Qatar,University of Doha for Science and Technology,Doha,Qatar,field,Qatar,T20,completed
1457222,2024-11-20,United Arab Emirates,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Doha,United Arab Emirates,bat,United Arab Emirates,T20,completed
1457223,2024-11-22,Cambodia,United Arab Emirates,"West End Park International Cricket Stadium, Doha",Doha,United Arab Emirates,field,United Arab Emirates,T20,completed
1457224,2024-11-22,Bahrain,Thailand,University of Doha for Science and Technology,Doha,Bahrain,bat,Thailand,T20,completed
1457225,2024-11-22,Saudi Arabia,Bhutan,University of Doha for Science and Technology,Doha,Bhutan,field,Saudi Arabia,T20,completed
1457226,2024-11-23,Bahrain,Bhutan,"West End Park International Cricket Stadium, Doha",Doha,Bhutan,field,Bahrain,T20,completed
1457227,2024-11-23,United Arab Emirates,Thailand,University of Doha for Science and Technology,Doha,United Arab Emirates,bat,United Arab Emirates,T20,completed
1457228,2024-11-23,Qatar,Cambodia,University of Doha for Science and Technology,Doha,Qatar,bat,Qatar,T20,completed
1457229,2024-11-25,Qatar,Bahrain,"West End Park International Cricket Stadium, Doha",Doha,Bahrain,field,Qatar,T20,completed
1457230,2024-11-25,Cambodia,Saudi Arabia,University of Doha for Science and Technology,Doha,Saudi Arabia,field,Saudi Arabia,T20,completed
1457231,2024-11-25,Thailand,Bhutan,"West End Park International Cricket Stadium, Doha",Doha,Thailand,bat,Thailand,T20,completed
1457232,2024-11-26,Thailand,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Doha,Saudi Arabia,field,Saudi Arabia,T20,completed
1457233,2024-11-26,Bahrain,Cambodia,University of Doha for Science and Technology,Doha,Cambodia,field,Bahrain,T20,completed
1457234,2024-11-26,United Arab Emirates,Qatar,"West End Park International Cricket Stadium, Doha",Doha,United Arab Emirates,bat,United Arab Emirates,T20,completed
1457235,2024-11-28,Bhutan,Cambodia,"West End Park International Cricket Stadium, Doha",Doha,Cambodia,field,Cambodia,T20,completed
1457236,2024-11-28,Saudi Arabia,Qatar,University of Doha for Science and Technology,Doha,Qatar,field,Qatar,T20,completed
1457350,2024-10-28,Bahrain,Uganda,Jinja Cricket Ground,Jinja,Uganda,field,Bahrain,T20,completed
1457351,2024-10-29,Bahrain,Uganda,Jinja Cricket Ground,Jinja,Bahrain,bat,Uganda,T20,completed
1459278,2024-11-28,Bahrain,United Arab Emirates,University of Doha for Science and Technology,Doha,Bahrain,bat,United Arab Emirates,T20,completed
1459374,2024-11-23,Botswana,Eswatini,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Botswana,bat,Botswana,T20,completed
1459375,2024-11-23,Sierra Leone,Ivory Coast,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Sierra Leone,bat,Sierra Leone,T20,completed
